VEH_ID;VEH_NAME;CATEGORY;BASE_TYPE;CLASS;INFO;LIFE_MODEL;PCSE;NUM_WHEELS;NUM_AXLES;TYRE_TYPE;TYRE_NR0;TYRE_RREC;AKM0;HRWK0;LIFE0;PP;PAX;W;WEIGHT_OP;WGT_UNIT;ESAL;EUC_VEH;EUC_TYRE;EUC_FUEL;EUC_OIL;EUC_LABOUR;EUC_CREW;EUC_OHEAD;EUC_INTRST;EUC_WORK;EUC_NONWRK;EUC_CARGO;FUC_VEH;FUC_TYRE;FUC_FUEL;FUC_OIL;FUC_LABOUR;FUC_CREW;FUC_OHEAD;FUC_INTRST;AF;CD;CDMULT;CR_B_A0;CR_B_A1;CR_B_A2;PDRIVE;PDRV_UNITS;PBRAKE;PBRK_UNITS;PRAT;PRAT_UNITS;FPLIM;B_VDES2;B_VDES_A0;B_VDES_A1;B_VDES_A2;B_VDES_CW1;B_VDES_CW2;C_VDES2;C_VDES_A0;C_VDES_A1;C_VDES_A2;C_VDES_CW1;C_VDES_CW2;U_VDES2;U_VDES_A0;U_VDES_A1;U_VDES_A2;U_VDES_CW1;U_VDES_CW2;VCURVE_A0;VCURVE_A1;VROUGH_A0;ARVMAX;SPEED_SIG;SPEED_BETA;COV;CGR_A0;CGR_A1;CGR_A2;RPM_A0;RPM_A1;RPM_A2;RPM_A3;RPM_IDLE;IDLE_FUEL;ZETAB;EHP;EDT;PACCS_A0;PCTPENG;OILCONT;OILOPER;AMAXV;FRIAMAX;NMTAMAX;RIAMAX;AMAXRI;WHEEL_DIAM;TYRE_C0TC;TYRE_CTCTE;TYRE_CTCON;TYRE_VOL;PARTS_A0;PARTS_A1;PARTS_KP;RI_SHAPE;RIMIN;CPCON;PARTS_K0PC;PARTS_K1PC;LAB_A0;LAB_A1;LAB_K0LH;LAB_K1LH;OPTLIFE_A0;OPTLIFE_A1;OPTLIFE_A2;OPTLIFE_A3;OPTLIFE_A4;EM_CATCONVTR;EN_FUELTYP;EN_PRODVEH;EN_PCTPART;EN_PCTVEH;EN_TYREWGT;EN_TAREWGT;EN_TAREUNT;NM_WHEEL;NM_PAYLOAD;NM_VDESP;NM_VDESU;NM_A_RGH;NM_CRGR;NM_A_GRD;NM_A_RMC;NM_B_RMC;NM_KEF;EUC_PSGR;EUC_ENERGY;FUC_PSGR;FUC_CARGO;FUC_ENERGY;EMRAT_A0;EMRAT_A1;EMRAT_A2;KPFAC;KPEA;
0,00;R5;0,00;10,00;3,00;3C3, ROMEU E JULIETA (caminhão trucado + reboque), peso ate 47.25 ton.;1,00;1,90;22,00;6,00;0,00;1,30;30,00;40.000,00;1.000,00;8,00;0,00;1,00;100,00;35,00;0,00;6,20;257.761,96;1.167,83;2,18;49,86;24,37;15,47;16.908,40;5,00;15,47;0,00;1,85;318.224,64;1.435,57;2,81;57,74;32,93;20,90;20.273,86;0,00;8,60;0,80;1,22;37,00;0,06;0,01;112,00;1,00;70,00;1,00;115,00;1,00;1,00;104,76;0,00;0,70;0,75;4,00;6,80;104,76;0,00;0,70;0,75;4,00;6,80;104,76;0,00;0,70;0,75;4,00;6,80;4,20;0,27;1,15;160,00;0,00;0,11;0,15;94,90;0,85;2,80;1.900,00;-10,18;0,15;0,00;500,00;1,12;0,06;0,10;0,86;0,20;80,00;3,10;0,00;0,75;0,20;0,40;0,30;20,00;1,01;0,04;0,00;0,10;8,00;13,58;2,96;0,37;0,25;3,00;0,10;1,00;0,00;301,46;0,52;1,00;0,00;-65,86;-1,92;2,00;15,00;5,00;1,00;1,00;1.500,00;10,00;10,00;13,70;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,07;1,91;10,10;1,00;1,00;
1,00;R4;0,00;10,00;3,00;3C2, CAMINHÃO TRUCADO + REBOQUE, peso máximo 45.15 ton.;1,00;1,90;18,00;5,00;0,00;1,30;30,00;40.000,00;1.000,00;8,00;0,00;1,00;100,00;35,00;0,00;6,80;263.168,96;1.167,83;2,18;49,86;24,37;15,47;16.908,40;5,00;15,47;0,00;1,85;324.899,95;1.435,57;2,81;57,74;32,93;20,90;20.273,86;0,00;6,06;0,80;1,22;37,00;0,06;0,01;112,00;1,00;70,00;1,00;115,00;1,00;1,00;104,76;0,00;0,70;0,75;4,00;6,80;104,76;0,00;0,70;0,75;4,00;6,80;104,76;0,00;0,70;0,75;4,00;6,80;4,20;0,27;1,15;160,00;0,00;0,11;0,15;94,90;0,85;2,80;1.900,00;-10,18;0,15;0,00;500,00;1,12;0,06;0,10;0,86;0,20;80,00;3,10;0,00;0,75;0,20;0,40;0,30;20,00;1,01;0,04;0,00;0,10;8,00;13,58;2,96;0,37;0,25;3,00;0,10;1,00;0,00;301,46;0,52;1,00;0,00;-65,86;-1,92;2,00;15,00;5,00;1,00;1,00;1.500,00;10,00;10,00;13,70;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,07;1,91;10,10;1,00;1,00;
2,00;R2;0,00;10,00;3,00;2C2, CAMINHÃO + REBOQUE, peso máximo 37.8 ton.;1,00;1,90;14,00;4,00;0,00;1,30;30,00;40.000,00;1.000,00;8,00;0,00;1,00;100,00;35,00;0,00;9,70;231.954,73;1.167,83;2,18;49,86;24,37;15,47;16.908,40;5,00;15,47;0,00;0,00;286.363,86;1.435,57;2,81;57,74;32,93;20,90;20.273,86;0,00;6,06;0,80;1,22;37,00;0,06;0,01;112,00;1,00;70,00;1,00;115,00;1,00;1,00;104,76;0,00;0,70;0,75;4,00;6,80;104,76;0,00;0,70;0,75;4,00;6,80;104,76;0,00;0,70;0,75;4,00;6,80;4,20;0,27;1,15;160,00;0,00;0,11;0,15;94,90;0,85;2,80;1.900,00;-10,18;0,15;0,00;500,00;1,12;0,06;0,10;0,86;0,20;80,00;3,10;0,00;0,75;0,20;0,40;0,30;20,00;1,01;0,04;0,00;0,10;8,00;13,58;2,96;0,37;0,25;3,00;0,10;1,00;0,00;301,46;0,52;1,00;0,00;-65,86;-1,92;2,00;15,00;5,00;1,00;1,00;1.500,00;10,00;10,00;13,70;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,07;1,91;10,10;1,00;1,00;
3,00;R1;0,00;10,00;3,00;3Q4, TREMINHÃO (caminhão trucado + dois reboques), peso ate 66.15 ton.;1,00;2,20;26,00;7,00;0,00;1,30;25,00;40.000,00;1.000,00;8,00;0,00;1,00;100,00;63,00;0,00;11,30;312.413,85;1.444,05;2,18;49,86;24,37;15,47;16.908,40;5,00;15,47;0,00;1,85;385.696,11;1.775,11;2,81;57,74;32,93;20,90;20.273,86;0,00;7,53;0,80;1,22;37,00;0,06;0,01;246,00;1,00;255,00;1,00;300,00;1,00;1,00;104,76;0,00;0,70;0,75;4,00;6,80;104,76;0,00;0,70;0,75;4,00;6,80;104,76;0,00;0,70;0,75;4,00;6,80;4,20;0,27;1,15;160,00;0,00;0,11;0,15;94,90;0,85;2,80;1.900,00;-10,18;0,15;0,00;500,00;1,12;0,06;0,10;0,86;0,20;80,00;3,10;0,00;0,75;0,20;0,40;0,30;20,00;1,04;0,04;0,00;0,10;8,00;13,58;2,96;0,37;0,25;3,00;0,10;1,00;0,00;301,46;0,52;1,00;0,00;-65,86;-1,92;2,00;15,00;5,00;1,00;1,00;1.500,00;10,00;10,00;13,70;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,07;1,91;10,10;1,00;1,00;
4,00;M;0,00;0,00;0,00;motorcycle or scooter;1,00;0,50;2,00;2,00;0,00;1,30;0,00;7.500,00;138,00;10,00;100,00;1,00;59,44;0,10;0,00;0,00;4.858,00;100,40;2,05;11,12;24,37;0,00;2.069,65;5,00;7,32;8,51;0,00;6.940,00;146,89;3,32;12,88;32,93;0,00;2.481,59;0,00;0,80;0,70;1,10;37,00;0,06;0,01;10,00;1,00;5,00;1,00;15,00;1,00;1,00;144,00;0,00;2,90;0,75;4,00;6,80;144,00;0,00;2,90;0,75;4,00;6,80;144,00;0,00;2,90;0,75;4,00;6,80;3,90;0,34;1,15;203,00;0,00;0,15;0,15;94,90;0,85;2,80;-162,00;298,86;-4,67;-0,00;800,00;0,12;0,07;0,25;0,95;0,20;80,00;0,40;0,00;0,75;0,20;0,40;0,30;20,00;0,62;0,01;0,00;0,10;0,35;9,23;6,20;0,31;0,25;3,00;0,10;1,00;0,00;77,14;0,55;1,00;0,00;-65,86;-1,92;2,00;15,00;5,00;1,00;0,00;20,00;10,00;20,00;2,00;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,10;0,00;0,00;1,00;1,00;
5,00;SE1;0,00;10,00;3,00;3T4, BI TREM ARTICULADO (caminhão trator trucado + dois semi-reboques) peso máximo 59.85 ton.;1,00;1,90;26,00;7,00;0,00;1,30;25,00;40.000,00;1.000,00;8,00;0,00;1,00;100,00;57,00;0,00;5,50;419.358,18;1.444,05;2,18;49,86;24,37;15,47;16.908,40;5,00;15,47;0,00;0,00;517.726,15;1.775,11;2,81;57,74;32,93;20,90;20.273,86;0,00;6,20;0,80;1,22;37,00;0,06;0,01;205,00;1,00;255,00;1,00;300,00;1,00;1,00;104,76;0,00;0,70;0,75;4,00;6,80;104,76;0,00;0,70;0,75;4,00;6,80;104,76;0,00;0,70;0,75;4,00;6,80;4,20;0,27;1,15;160,00;0,00;0,11;0,15;94,90;0,85;2,80;1.900,00;-10,18;0,15;0,00;500,00;1,12;0,06;0,10;0,86;0,20;80,00;3,10;0,00;0,75;0,20;0,40;0,30;20,00;1,04;0,04;0,00;0,10;8,00;13,58;2,96;0,37;0,25;3,00;0,10;1,00;0,00;301,46;0,52;1,00;0,00;-65,86;-1,92;2,00;15,00;5,00;1,00;1,00;1.500,00;10,00;10,00;13,70;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,07;1,91;10,10;1,00;1,00;
6,00;S6;0,00;10,00;3,00;3S3, CAMINHÃO TRATOR TRUCADO + SEMI-REBOQUE, peso máximo 50.925 ton.;1,00;1,90;22,00;6,00;0,00;1,30;25,00;61.000,00;1.525,00;8,00;0,00;1,00;100,00;48,00;0,00;3,80;404.765,51;1.444,05;2,18;49,86;24,37;15,47;16.908,40;5,00;15,47;0,00;1,85;499.710,51;1.775,11;2,81;57,74;32,93;20,90;20.273,86;0,00;8,68;0,80;1,22;37,00;0,06;0,01;194,00;1,00;255,00;1,00;300,00;1,00;1,00;104,76;0,00;0,70;0,75;4,00;6,80;104,76;0,00;0,70;0,75;4,00;6,80;104,76;0,00;0,70;0,75;4,00;6,80;4,20;0,27;1,15;160,00;0,00;0,11;0,15;94,90;0,85;2,80;1.900,00;-10,18;0,15;0,00;500,00;1,12;0,06;0,10;0,86;0,20;80,00;3,10;0,00;0,75;0,20;0,40;0,30;20,00;1,04;0,04;0,00;0,10;8,00;13,58;2,96;0,37;0,25;3,00;0,10;1,00;0,00;301,46;0,52;1,00;0,00;-65,86;-1,92;2,00;15,00;5,00;1,00;1,00;1.500,00;10,00;10,00;13,70;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,07;1,91;10,10;1,00;1,00;
7,00;S3;0,00;10,00;3,00;2S3, CAMINHÃO TRATOR + SEMIREBOQUE, peso máximo 43.575 ton.;1,00;1,90;18,00;5,00;0,00;1,30;25,00;61.000,00;1.525,00;8,00;0,00;1,00;100,00;48,30;0,00;4,50;270.797,13;1.444,05;2,18;49,86;24,37;15,47;16.908,40;5,00;15,47;0,00;1,68;334.317,44;1.775,11;2,81;57,74;32,93;20,90;20.273,86;0,00;7,50;0,80;1,22;37,00;0,06;0,01;129,00;1,00;230,00;1,00;140,00;1,00;1,00;104,76;0,00;0,70;0,75;4,00;6,80;104,76;0,00;0,70;0,75;4,00;6,80;104,76;0,00;0,70;0,75;4,00;6,80;4,20;0,27;1,15;160,00;0,00;0,11;0,15;94,90;0,85;2,80;1.900,00;-10,18;0,15;0,00;500,00;1,12;0,06;0,10;0,86;0,20;80,00;3,10;0,00;0,75;0,20;0,40;0,30;20,00;1,04;0,04;0,00;0,10;8,00;13,58;2,96;0,37;0,25;3,00;0,10;1,00;0,00;301,46;0,52;1,00;0,00;-65,86;-1,92;2,00;15,00;5,00;1,00;1,00;1.500,00;10,00;10,00;13,70;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,07;1,91;10,10;1,00;1,00;
8,00;C2;0,00;9,00;3,00;Caminhão 3C, peso hasta 24.15 ton.;1,00;1,60;10,00;3,00;0,00;1,30;30,00;30.000,00;750,00;8,00;0,00;1,00;100,00;17,60;0,00;2,30;176.081,85;1.167,83;2,18;49,86;24,37;15,47;16.908,40;5,00;15,47;0,00;0,84;217.385,00;1.435,57;2,81;57,74;32,93;20,90;20.273,86;0,00;7,90;0,70;1,14;37,00;0,06;0,01;112,00;1,00;70,00;1,00;115,00;1,00;1,00;88,56;0,00;0,70;0,75;4,00;6,80;88,56;0,00;0,70;0,75;4,00;6,80;88,56;0,00;0,70;0,75;4,00;6,80;4,60;0,28;1,15;180,00;0,00;0,11;0,15;94,90;0,85;2,80;1.905,00;-12,99;0,25;-0,00;500,00;1,12;0,06;0,10;0,86;0,20;80,00;3,10;0,00;0,75;0,20;0,40;0,30;20,00;1,01;0,04;0,00;0,10;8,00;11,58;2,96;0,37;0,25;3,00;0,10;1,00;0,00;301,46;0,52;1,00;0,00;-65,86;-1,92;2,00;15,00;5,00;1,00;1,00;1.000,00;10,00;10,00;12,40;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,07;1,91;10,10;1,00;1,00;
9,00;C1;0,00;8,00;3,00;Caminhão 2C, peso hasta 16.8 ton.;1,00;1,40;6,00;2,00;0,00;1,30;42,00;30.000,00;750,00;8,00;0,00;1,00;100,00;16,20;0,00;2,90;116.929,17;663,06;2,18;49,86;24,37;15,47;169.083.988.073.720,00;5,00;15,47;0,00;0,42;144.357,00;815,07;2,81;57,74;32,93;20,90;20.273,86;0,00;5,28;0,60;1,13;37,00;0,06;0,01;112,00;1,00;70,00;1,00;115,00;1,00;1,00;105,48;0,00;0,70;0,75;4,00;6,80;105,48;0,00;0,70;0,75;4,00;6,80;105,48;0,00;0,70;0,75;4,00;6,80;4,80;0,29;1,15;200,00;0,00;0,16;0,15;94,90;0,85;2,80;1.926,00;-32,35;0,74;-0,00;500,00;0,37;0,06;0,10;0,86;0,20;80,00;1,56;0,00;0,75;0,20;0,40;0,30;20,00;0,77;0,03;0,00;0,10;6,00;11,58;2,96;0,37;0,25;3,00;0,10;1,00;0,00;242,03;0,52;1,00;0,00;-65,86;-1,92;2,00;15,00;5,00;1,00;1,00;600,00;10,00;10,00;12,40;4,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,04;0,83;12,40;1,00;1,00;
